Propriedade; Preço ;Cidade;Metros Quad.;Quartos;WCs;Piscina
Casa 60; 144 750 € ;Póvoa de Varzim; 2 895 ;3;2;0
Casa 10; 79 000 € ;Lisboa; 1 580 ;4;3;1
Casa 53; 144 500 € ;Braga; 2 890 ;3;2;1
Casa 6; 144 000 € ;Póvoa de Varzim; 2 880 ;3;2;2
Casa 80; 143 750 € ;Viana do Castelo; 2 875 ;3;3;1
Casa 112; 143 250 € ;Lisboa; 2 865 ;3;2;1
Casa 86; 143 250 € ;Viana do Castelo; 2 865 ;3;2;1
Casa 26; 143 000 € ;Viana do Castelo; 2 860 ;3;2;1
Casa 32; 142 500 € ;Viana do Castelo; 2 850 ;3;2;2
Casa 107; 145 250 € ;Braga; 2 905 ;4;3;1
Casa 108; 149 250 € ;Póvoa de Varzim; 2 985 ;3;3;2
Casa 59; 141 750 € ;Braga; 2 835 ;3;3;1
Casa 11; 83 000 € ;Braga; 1 660 ;4;4;0
Casa 106; 141 250 € ;Lisboa; 2 825 ;1;2;2
Casa 5; 141 000 € ;Braga; 2 820 ;4;2;0
Casa 52; 140 500 € ;Lisboa; 2 810 ;3;2;2
Casa 113; 146 250 € ;Braga; 2 925 ;3;2;2
Casa 114; 149 250 € ;Póvoa de Varzim; 2 985 ;2;2;0
Casa 115; 152 250 € ;Porto; 3 045 ;3;1;0
Casa 116; 155 250 € ;Viana do Castelo; 3 105 ;4;2;1
Casa 117; 158 250 € ;Guimarães; 3 165 ;4;2;2
Casa 118; 84 250 € ;Lisboa; 1 685 ;4;3;1
Casa 119; 88 250 € ;Braga; 1 765 ;3;2;2
Casa 12; 87 000 € ;Póvoa de Varzim; 1 740 ;3;2;0
Casa 120; 92 250 € ;Póvoa de Varzim; 1 845 ;3;3;0
Casa 111; 140 250 € ;Guimarães; 2 805 ;4;4;2
Casa 132; 140 250 € ;Póvoa de Varzim; 2 805 ;3;2;1
Casa 85; 140 250 € ;Porto; 2 805 ;4;2;2
Casa 79; 139 750 € ;Porto; 2 795 ;3;2;1
Casa 31; 139 500 € ;Porto; 2 790 ;4;4;1
Casa 25; 139 000 € ;Porto; 2 780 ;4;2;2
Casa 58; 138 750 € ;Lisboa; 2 775 ;4;3;2
Casa 4; 138 000 € ;Lisboa; 2 760 ;3;2;0
Casa 105; 137 250 € ;Guimarães; 2 745 ;1;2;1
Casa 13; 91 000 € ;Porto; 1 820 ;3;2;2
Casa 110; 137 250 € ;Viana do Castelo; 2 745 ;4;3;1
Casa 84; 137 250 € ;Póvoa de Varzim; 2 745 ;3;2;1
Casa 30; 136 500 € ;Póvoa de Varzim; 2 730 ;4;3;2
Casa 51; 136 500 € ;Guimarães; 2 730 ;4;4;1
Casa 131; 136 250 € ;Braga; 2 725 ;4;4;0
Casa 57; 135 750 € ;Guimarães; 2 715 ;4;2;1
Casa 78; 135 750 € ;Póvoa de Varzim; 2 715 ;4;3;0
Casa 24; 135 000 € ;Póvoa de Varzim; 2 700 ;3;2;1
Casa 3; 135 000 € ;Guimarães; 2 700 ;2;3;1
Casa 109; 134 250 € ;Porto; 2 685 ;4;2;0
Casa 83; 134 250 € ;Braga; 2 685 ;2;3;0
Casa 29; 133 500 € ;Braga; 2 670 ;4;2;0
Casa 104; 133 250 € ;Viana do Castelo; 2 665 ;3;2;0
Casa 56; 132 750 € ;Viana do Castelo; 2 655 ;4;2;0
Casa 50; 132 500 € ;Viana do Castelo; 2 650 ;4;3;0
Casa 130; 132 250 € ;Lisboa; 2 645 ;4;3;0
Casa 2; 132 000 € ;Viana do Castelo; 2 640 ;3;1;2
Casa 27; 147 000 € ;Guimarães; 2 940 ;4;3;2
Casa 77; 131 750 € ;Braga; 2 635 ;4;2;0
Casa 82; 131 250 € ;Lisboa; 2 625 ;3;1;0
Casa 23; 131 000 € ;Braga; 2 620 ;2;3;0
Casa 28; 130 500 € ;Lisboa; 2 610 ;3;3;0
Casa 55; 129 750 € ;Porto; 2 595 ;3;1;0
Casa 103; 129 250 € ;Porto; 2 585 ;2;3;0
Casa 33; 145 500 € ;Guimarães; 2 910 ;3;2;0
Casa 34; 148 500 € ;Lisboa; 2 970 ;2;2;0
Casa 35; 151 500 € ;Braga; 3 030 ;3;1;1
Casa 36; 154 500 € ;Póvoa de Varzim; 3 090 ;4;2;2
Casa 37; 80 500 € ;Porto; 1 610 ;4;2;1
Casa 38; 84 500 € ;Viana do Castelo; 1 690 ;4;3;2
Casa 39; 88 500 € ;Guimarães; 1 770 ;3;2;0
Casa 1; 135 000 € ;Porto; 2 580 ;4;2;0
Casa 40; 92 500 € ;Lisboa; 1 850 ;3;3;1
Casa 49; 128 500 € ;Porto; 2 570 ;4;2;2
Casa 129; 128 250 € ;Guimarães; 2 565 ;4;2;1
Casa 76; 127 750 € ;Lisboa; 2 555 ;4;2;2
Casa 22; 127 000 € ;Lisboa; 2 540 ;3;1;0
Casa 102; 125 250 € ;Póvoa de Varzim; 2 505 ;3;1;2
Casa 48; 124 500 € ;Póvoa de Varzim; 2 490 ;3;3;1
Casa 128; 124 250 € ;Viana do Castelo; 2 485 ;3;3;2
Casa 75; 123 750 € ;Guimarães; 2 475 ;3;1;1
Casa 21; 123 000 € ;Guimarães; 2 460 ;4;2;2
Casa 101; 121 250 € ;Braga; 2 425 ;4;2;1
Casa 47; 120 500 € ;Braga; 2 410 ;4;3;2
Casa 127; 120 250 € ;Porto; 2 405 ;4;3;1
Casa 74; 119 750 € ;Viana do Castelo; 2 395 ;2;2;2
Casa 20; 119 000 € ;Viana do Castelo; 2 380 ;3;2;1
Casa 54; 148 500 € ;Póvoa de Varzim; 2 970 ;2;2;2
Casa 100; 117 250 € ;Lisboa; 2 345 ;3;2;2
Casa 46; 116 500 € ;Lisboa; 2 330 ;3;2;1
Casa 126; 116 250 € ;Póvoa de Varzim; 2 325 ;3;2;0
Casa 73; 115 750 € ;Porto; 2 315 ;3;2;1
Casa 19; 115 000 € ;Porto; 2 300 ;3;3;1
Casa 99; 113 250 € ;Guimarães; 2 265 ;3;3;0
Casa 45; 112 500 € ;Guimarães; 2 250 ;4;2;0
Casa 61; 147 750 € ;Porto; 2 955 ;4;2;0
Casa 62; 150 750 € ;Viana do Castelo; 3 015 ;3;1;1
Casa 63; 153 750 € ;Guimarães; 3 075 ;2;3;2
Casa 64; 79 750 € ;Lisboa; 1 595 ;3;2;1
Casa 65; 83 750 € ;Braga; 1 675 ;4;2;2
Casa 66; 87 750 € ;Póvoa de Varzim; 1 755 ;3;2;0
Casa 67; 91 750 € ;Porto; 1 835 ;4;3;0
Casa 125; 112 250 € ;Braga; 2 245 ;4;2;0
Casa 72; 111 750 € ;Póvoa de Varzim; 2 235 ;3;2;0
Casa 7; 147 000 € ;Porto; 2 940 ;4;3;1
Casa 18; 111 000 € ;Póvoa de Varzim; 2 220 ;4;3;0
Casa 98; 109 250 € ;Viana do Castelo; 2 185 ;4;3;2
Casa 44; 108 500 € ;Viana do Castelo; 2 170 ;3;2;0
Casa 124; 108 250 € ;Lisboa; 2 165 ;3;2;2
Casa 71; 107 750 € ;Braga; 2 155 ;4;4;0
Casa 17; 107 000 € ;Braga; 2 140 ;4;2;0
Casa 97; 105 250 € ;Porto; 2 105 ;4;2;1
Casa 43; 104 500 € ;Porto; 2 090 ;2;3;2
Casa 123; 104 250 € ;Guimarães; 2 085 ;2;3;1
Casa 70; 103 750 € ;Lisboa; 2 075 ;4;3;2
Casa 8; 150 000 € ;Viana do Castelo; 3 000 ;3;3;2
Casa 16; 103 000 € ;Lisboa; 2 060 ;4;2;2
Casa 81; 147 750 € ;Guimarães; 2 955 ;4;2;2
Casa 96; 101 250 € ;Póvoa de Varzim; 2 025 ;4;2;2
Casa 42; 100 500 € ;Póvoa de Varzim; 2 010 ;3;1;1
Casa 122; 100 250 € ;Viana do Castelo; 2 005 ;3;1;2
Casa 69; 99 750 € ;Guimarães; 1 995 ;4;2;2
Casa 15; 99 000 € ;Guimarães; 1 980 ;3;1;1
Casa 87; 146 250 € ;Guimarães; 2 925 ;4;3;2
Casa 88; 149 250 € ;Lisboa; 2 985 ;3;3;0
Casa 89; 152 250 € ;Braga; 3 045 ;4;2;0
Casa 9; 153 000 € ;Guimarães; 3 060 ;4;2;1
Casa 90; 155 250 € ;Póvoa de Varzim; 3 105 ;4;3;2
Casa 91; 81 250 € ;Porto; 1 625 ;4;4;1
Casa 92; 85 250 € ;Viana do Castelo; 1 705 ;3;2;2
Casa 93; 89 250 € ;Guimarães; 1 785 ;3;2;0
Casa 94; 93 250 € ;Lisboa; 1 865 ;2;2;0
Casa 95; 97 250 € ;Braga; 1 945 ;3;1;1
Casa 41; 96 500 € ;Braga; 1 930 ;4;2;2
Casa 121; 96 250 € ;Porto; 1 925 ;4;2;1
Casa 68; 95 750 € ;Viana do Castelo; 1 915 ;3;3;1
Casa 14; 95 000 € ;Viana do Castelo; 1 900 ;2;2;2
