tipo_produto,produto,quantidade_vendida,preco_unitario
Alimentacao,Bacalhau,20,15.99
Alimentacao,Queijo da Serra,10,9.50
Alimentacao,Azeite,30,7.99
Alimentacao,Polvo,5,25.99
Alimentacao,Chourico,15,5.99
Alimentacao,Cabrito,9,5.99
Higiene,Sabao Azul e Branco,50,1.75
Higiene,Sabao Rosa,55,1.70
Higiene,Amaciador da Roupa,40,4.99
Higiene,Pasta de Dentes,60,3.50
Higiene,Shampoo Homem 8 em 1,35,6.99
Produtos para Casa,Toalhas de Papel,70,2.25
Produtos para Casa,Lava-Louca,25,3.99
Produtos para Casa,Sacos do Lixo,100,4.50
Produtos para Casa,Vassoura,20,7.99
Produtos para Casa,Ambientador de Francesinha,10,9.95
Alimentacao,Alheira,15,8.50
Alimentacao,Presunto,25,12.99
Alimentacao,Arroz Carolino,30,2.99
Alimentacao,Vinho Verde,40,5.99
Higiene,Gel de Banho,45,4.25
Higiene,Desodorizante,30,3.99
Higiene,Creme Hidratante,20,8.99
Produtos para Casa,Luvas de Borracha,50,2.50
Produtos para Casa,Ambientador,15,6.99
Produtos para Casa,Esfregao,40,1.99
Alimentacao,Queijo da Ilha,10,10.50
Alimentacao,Sardinhas em Lata,35,3.99
Alimentacao,Francesinha Congelada,5,6.99
Higiene,Escova de Dentes,70,2.99
Higiene,Condicionador,25,5.50
Produtos para Casa,Detergente Multiuso,50,3.25
Produtos para Casa,Esponja de Cozinha,80,1.75
Produtos para Casa,Aspirador de Po,5,99.99
Alimentacao,Cerveja Super Bock,350,0.99
Alimentacao,Cerveja Sagres,2,0.99
Alimentacao,Pate de Sardinha,90,0.65
Alimentacao,Salpicao,45,4.99
Alimentacao,Vinagre,10,3.50
Produtos para Casa,Ambientador Bacalhau com Broa,10,9.95
Alimentacao,Rojoes Congelados,15,5.99
Alimentacao,Cozido Portuguesa Congelado,90,3.99
