Nome da musica,Artista,Genero,Duracao
Bohemian Rhapsody,Queen,Rock,6:06
Thriller,Michael Jackson,Pop,5:58
Stairway to Heaven,Led Zeppelin,Rock,8:02
Imagine,John Lennon,Pop,3:04
Hotel California,Eagles,Rock,6:30
Billie Jean,Michael Jackson,Pop,4:54
Sweet Child O Mine,Guns N Roses,Rock,5:55
Like a Rolling Stone,Bob Dylan,Rock,6:13
Smells Like Teen Spirit,Nirvana,Grunge,5:01
Hey Jude,The Beatles,Pop,7:11
Nothing Else Matters,Metallica,Heavy Metal,6:28
Thunderstruck,AC/DC,Rock,4:52
Livin on a Prayer,Bon Jovi,Rock,4:10
Every Breath You Take,The Police,Pop,4:13
I Want to Hold Your Hand,The Beatles,Pop,2:24
Viva la Vida,Coldplay,Alternative Rock,4:03
Sweet Home Alabama,Lynyrd Skynyrd,Rock,4:44
We Will Rock You,Queen,Rock,2:02
Enter Sandman,Metallica,Heavy Metal,5:32
Highway to Hell,AC/DC,Rock,3:28
November Rain,Guns N Roses,Rock,8:57
Satisfaction,The Rolling Stones,Rock,3:43
Purple Haze,Jimi Hendrix,Psychedelic Rock,2:50
The Twist,Chubby Checker,Rock and Roll,2:38
Piano Man,Billy Joel,Pop,5:37
Another Brick in the Wall,Pink Floyd,Rock,3:59
Back in Black,AC/DC,Rock,4:15
Blowin in the Wind,Bob Dylan,Folk,2:48
Beat It,Michael Jackson,Pop,4:19
All Along the Watchtower,Jimi Hendrix,Psychedelic Rock,3:59
The Sound of Silence,Simon & Garfunkel,Pop,3:08
The Power of Love,Huey Lewis and the News,Pop,3:54
Eye of the Tiger,Survivor,Rock,4:06
Sweet Caroline,Neil Diamond,Pop,3:21
Africa,Toto,Pop,4:58
Paint It Black,The Rolling Stones,Rock,3:44
Hallelujah,Jeff Buckley,Alternative Rock,6:53
The Joker,Steve Miller Band,Rock,3:37
Jump,Van Halen,Rock,4:01
Livin La Vida Loca,Ricky Martin,Pop,4:03
You Shook Me All Night Long,AC/DC,Rock,3:30
Dream On,Aerosmith,Rock,4:27
Tears in Heaven,Eric Clapton,Pop,4:33
More Than a Feeling,Boston,Rock,4:45
Rock and Roll, Led Zeppelin,Rock,3:40
Bad,Michael Jackson,Pop,4:07
